,Name,Lat,Lon
159,Solomon Islands,-8.7053941,159.1070693851845
160,Somalia,8.3676771,49.083416
161,South Africa,-28.8166236,24.991639
162,South Sudan,7.8699431,29.6667897
163,Spain,39.3260685,-4.8379791
164,Sri Lanka,7.877395849999999,80.66247852355892
165,Sudan,14.5844444,29.4917691
166,Suriname,4.1413025,-56.0771187
167,Swaziland,-26.5624806,31.3991317
168,Sweden,59.6749712,14.5208584
169,Switzerland,46.7985624,8.2319736
170,Syria,34.6401861,39.0494106
171,Taiwan,23.9739374,120.9820179
172,Tajikistan,38.6281733,70.8156541
173,Tanzania,-6.5247123,35.7878438
174,Thailand,14.8971921,100.83273
175,Togo,8.7800265,1.0199765
176,Tonga,-19.9160819,-175.202642
177,Trinidad & Tobago,10.7466905,-61.0840075
178,Tunisia,33.8439408,9.400138
179,Turkey,38.9597594,34.9249653
180,Turkmenistan,39.3763807,59.3924609
181,Tuvalu,-8.6405212,179.1582918181797
182,Uganda,1.5333554,32.2166578
183,Ukraine,49.4871968,31.2718321
184,United Arab Emirates,24.0002488,53.9994829
185,United Kingdom,54.7023545,-3.2765753
186,United States,39.7837304,-100.445882
187,Uruguay,-32.8755548,-56.0201525
188,Uzbekistan,41.32373,63.9528098
189,Vanuatu,-16.5255069,168.1069154
190,Vatican City,41.903411,12.4528527
191,Venezuela,8.0018709,-66.1109318
192,Vietnam,15.9266657,107.9650855
193,Yemen,16.3471243,47.8915271
194,Zambia,-14.5189121,27.5589884
195,Zimbabwe,-18.4554963,29.7468414
